,Comment,Classes,ner_text,ner_comments
3258,good hosting ,Good,,
3259,attended discussion adita project set adita documentation deployed adita project local server participated web development soroti fc club website using laravel attended meeting participated training ofprogramming created graph usingprogramming data manipulation understanding descriptive statistic presentedwebsite project mantle hope atara legacy website attended training hostingwebsite cpanel remote server ,Very Poor,"adita, soroti, atara","adita, soroti, atara"
3260,yes evans guided technician computer repair ,Very Poor,,
3261,whitneygeneral performance first four week rated 85 break consistency attendance involvement company activity besides proper communication among performance metric ,Very Poor,"first four week, 85","first four week, 85"
3262,keep ,Very Poor,,
3263,always willing whatever need done ups department attained power skill theory hand interaction unilever system analyst gavereport knowing whatdone department liking join field ,Very Poor,,
3264,good keep ,Good,,
3265,presentedwebsite project mantle hope atara legacy website attended meeting participated training ofprogramming created graph usingprogramming data manipulation understanding descriptive statistic attended training hostingwebsite cpanel remote server ,Very Poor,atara,atara
3266,initiative communicate ask help also learn business process commendable ,Very Poor,,
3267,good ,Good,,
3268,keep ,Very Poor,,
3269,good ,Good,,
3270,create graph usingprogramming data manipulation understanding descriptive statistic attended training hostingwebsite cpanel remote severs ,Very Poor,,
3271,task partially completed however handedtp link router practice purpose ,Excellent,,
3272,never missed assignment without prior approval appropriate notification keep mark ,Very Poor,,
3273,manasseh managed implement sign login interface using flutter moving towards implementing firebase back end page ,Very Poor,,
3274,good ,Good,,
3275,miss joanita made appdesign prototype figma also checked tailwindcss framework going use style app ,Very Poor,,
3276,great teamwork uids refined last week keep good work keep putting effort design improvement ,Very Poor,last week,last week
3277,overall performance four week ending week rated 80 need improve communication punctuality delay finish task attributed ineffective collaboration team member indicator ineffective communication however shall improve orient show weakness via performance compliant report ,Very Poor,"four week ending week, 80","four week ending week, 80"
3278,despite machine challenge davis managed implement sign login interface using flutter moving towards implementing firebase back end page ,Poor,davis,davis
3279,task submitted mantis project management platform review ,Very Poor,,
3280,attended training hostingwebsite cpanel remote server presentedwebsite project mantle hope attended meeting participated training ofprogramming created graph usingprogramming data manipulation understanding descriptive statistic ,Very Poor,,
3281,good progress acquisition job knowledge experience internal data network including connectivity far brian already able start aligning theory practical implementation possibly notice gap present ,Very Poor,,
3282,attended meeting participated training ofprogramming created graph usingprogramming data manipulation understanding descriptive statistic presentedwebsite project mantle hope atara legacy website attended training hostingwebsite cpanel remote server ,Very Poor,atara,atara
3283,andrew proved bevery reliable intern dedicated committed learning much building enough skill muscle ,Very Poor,andrew proved bevery,andrew proved bevery
3284,set lan wlan shared resource remotely accessed computer connected network ,Very Poor,lan wlan shared resource,lan wlan shared resource
3285,didnknow basic system administration task time expected something delivered instead needed time train complains limited time finish task time occupied school assignment well evidenced quality result delivered little attention put actually presented ,Very Poor,,
3286,intern visited server room ministry ict national guidance able identify different device used set upserver room role environment ofserver room structure intern also terminated testedstraight cable following session early cabling ,Very Poor,,
3287,student learnt terminate network cable using organisationcolor coding ,Very Poor,student learnt,student learnt
3288,generally angella outstanding performa performance appraisal managed among top 3 past four week work boosted engaging person though much inquisitive whichgood attribute ,Very Poor,3 past four week,3 past four week
3289,passionate ,Very Poor,,
3290,promising best yet come ,Very Poor,,
3291,able work wordpress website ,Very Poor,,
3292,session good hadgood interaction student didlot installation objective achieved ,Very Poor,,
3293,waswonderful week achieved student ,Very Poor,waswonderful week,waswonderful week
3294,really well backup datawarehouse ,Very Poor,,
3295,tasked work remotely week indeed performed well deadline currently reviewing assessing four week stay boosted technology expect haveclear understanding hussein data analysis ,Very Poor,four week,four week
3296,website run ,Very Poor,,
3297,took troubleshooting technique computer server printer took installation print server domain server sql server ,Very Poor,,
3298,great ,Very Poor,,
3299,hard working ,Very Poor,,
3300,apart challenge laptop marvin managed successfully design user interface business business application ,Very Poor,,
3301,demonstrated good network device configuration ,Good,,
3302,progaming php beenchallenge well take guided engagement make master art boosted software design principal ,Very Poor,,
3303,exhibited good team work role played system development ,Good,,
3304,well ,Very Poor,,
3305,good functional website ,Good,,
3306,good go website designing hosting ,Good,,
3307,able troubleshoot software related problem quickly efficiently good work patricia ,Very Poor,,
3308,reliable person always available needed delivers quality work ability research deliver quality work amazing requires minimal supervision deliver new assignment isgood team player ,Very Poor,,
3309,part training planned like cable termination server set david taken role leading intern project like redesigning ministry website designingweb based application information sharing department also providing help desk support employee ministry since officer field implementing parish development management system ,Very Poor,,
3310,well equipped skill sql designedvery good database project ,Good,,
3311,git beenchallenge intern ,Very Poor,,
3312,far displayed strong organizational skill demonstratesgood work ethic offer assistance support fellow intern willing go extra mile make maximum use time ,Very Poor,,
3313,looking forward testing roydemo frontend backend would start putting piece together promised client fordry run inweeks time andfollow actual demo along stakeholder ,Very Poor,,
3314,impressed much quickly learned use many application program good job malik ,Very Poor,,
3315,abdallah successfully completed first week internship wellencourage always contact trainer incase difficulty ,Excellent,"abdallah, first week","abdallah, first week"
3316,tasked demonstrate session management php mysql perfectly aimed test skill engaging companycode base ,Very Poor,,
3317,system fully response screen size functionality added ,Very Poor,,
3318,delivered sr team leader time responsive collaborative ,Very Poor,,
3319,reliable person contributes well team member past week improved research capability leading good documentation system development process importantly problem solving quality excellent also keep time arriving work submitting assignment ,Very Poor,past week,past week
3320,work well done kindly submit time next time ,Very Poor,,
3321,maria self regulated ,Very Poor,,
3322,permitted complete task remotely however made infective attending physical work session ,Very Poor,,
3323,olivia still studying working assignment assignment quite well assignment offering support staff use acmis ,Very Poor,,
3324,created graph usingprogramming data manipulation understanding descriptive statistic attended training hostingwebsite cpanel remote server ,Very Poor,,
3325,wasmulti tasking week withcouple activity hence enabled student go extra mile multitasking since onsite offsite activity ,Very Poor,week,week
3326,langauges specific specific smart school project ,Very Poor,,
3327,first time engage deep hardware maintenance ,Very Poor,first,first
3328,progressive website designing system ,Very Poor,,
3329,progressive area covered week ,Very Poor,,
3330,intern visited server room ministry ict national guidance able identify different device used set upserver room role environment ofserver room structure server room linda also terminated testedstraight cable following session early cabling focused termination straight cable commonly use ministry ,Very Poor,linda,linda
3331,kikomeko able complete urgent task high quality detail often see regular duty ,Very Poor,,
3332,kikomeko always deliver work ahead schedule never forget detail always time never leave early adheres company break time rare occasion missed work ,Very Poor,,
3333,tasked come sr module fee collection intergration boostedsmart school project ,Very Poor,,
3334,training system development division opened capability hastings however extra practice needed strive perfection ,Very Poor,,
3335,task completed successfully ,Excellent,,
3336,week jolly introduced different infrastructure within right data center also demonstrated excellence quickly picking ongoing risk review within risk supporting conducting ,Very Poor,week,week
3337,engaging ask question ,Very Poor,,
3338,student excellent asset organization brought new innovative idea table regarding unra laboratory system ,Very Poor,,
3339,smart dress code isfast learner ,Very Poor,,
3340,completed certification api academy ,Very Poor,,
3341,effort network device configuration ,Very Poor,,
3342,progressive irrespective time ,Very Poor,,
3343,progressed system ideation embarked system design ,Very Poor,,
3344,sonia hasgood rapport people quick grasping new concept far good easily examining problem quickly identifying potential solution commitment postivity excel ,Very Poor,,
3345,good time keeper always work time show interested training learning ,Good,,
3346,add dns configuration done successfully group policy management done well ,Very Poor,,
3347,suchgood student always withgreat desire learn new skill configuration cisco device conducted well ,Very Poor,,
3348,good time management responsibility activity ,Good,,
3349,good hosting ,Good,,
3350,believe skill matured enough assignednew interesting problemasked developcustom neural network task managed develop network addfew custom layer improve performance yet mastered evaluation pipeline main task moving forward ,Very Poor,,
3351,task assigned well executed bertrand easily familiarized gps electronics used practical php assignment creatingsimple crud application exceptionally well done ,Very Poor,,
3352,good programming always training center time good discipline ,Good,,
3353,isfast learner always attentive training ,Very Poor,,
3354,good ,Good,,
3355,good ui ,Good,,
3356,able work cpanels host website ,Very Poor,,
3357,attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,,
3358,good teamwork exhibited task handled health interrupted included creation mysqland db integration php ,Very Poor,,
3359,configured cisco device using cisco packet tracer well managing window server add dns dhcp ,Very Poor,,
3360,mariamresearch computer skill bestve seen makedifficult task look easy articulate finding extreme clarity ,Very Poor,,
3361,completed general support continued remote connection using rds team viewer ,Very Poor,,
3362,student managed complete task mentioned fairlu satisfactorily ,Very Poor,,
3363,student completed task satisfactory level true facing challenge work study balance handling well ,Very Poor,,
3364,limitation side student need juggle school work otherwise great job sofar ,Very Poor,,
3365,introduced task still embracing well ,Very Poor,,
3366,incorporating class field experience intern managed use mock design tool come withlogin page forsample tourism site ,Very Poor,,
3367,actively participated ,Very Poor,,
3368,task completed time wasfast learner regarding data manipulation exercise ,Excellent,,
3369,got learn heizal wasbusiness oriented person task covering week acted ascatalyst enable think business passion uniquely also eager learn ,Very Poor,,
3370,beennumber task handled week one comprehensive repair computer printer ict team parliament another company contracted parliament regard intern benefited much one week planned exercise general specifically mr sinani wanzu great time team also part team installed networked new computer parliament resource center development house hard working focused ,Very Poor,"beennumber task, week one, one week","beennumber task, week one, one week"
3371,good working progressfew kink documentation rectified expected ,Very Poor,,
3372,heizal wasquick learner able jump quickly showedlot imitative wanting learn ,Very Poor,heizal wasquick learner,heizal wasquick learner
3373,week quite challenging student learning something new mobile app development however heizal take position hardmight well learn however opened mind madedecision intentionally learn something new ,Very Poor,,
3374,task completed ,Excellent,,
3375,thereprogress considering start happy effort input learn ,Very Poor,,
3376,assigned natashaproject help grasp data analysis skill potentially learn basic machine learning week task conduct exploratory data analysis get insight feature datasethave informed improve eda submission improve data preparation pipeline ,Very Poor,eda,eda
3377,islot learn seems ready issue trying find code may running expected debugging something improve ,Very Poor,islot,islot
3378,progressing well learns new thing day given ithis first time using spring boot badly ,Very Poor,"first, spring","first, spring"
3379,terry always cordial willing help fellow intern company worker thumb terry ,Very Poor,terry,terry
3380,hellen developskill following colleague responsible closure task improve turn around time arear work ,Very Poor,hellen developskill,hellen developskill
3381,good ,Good,,
3382,showing great progress network especially troubleshooting making sure le noise network efficient work ,Very Poor,,
3383,always available office work ,Very Poor,,
3384,isvery active student like participating ,Very Poor,,
3385,improving work ethic portrayal purpose clarity company goal ,Very Poor,,
3386,evans able install doom camera engineer ,Very Poor,,
3387,progressive ,Neutral,,
3388,student gained graphic designing skill ,Very Poor,,
3389,progressive activity networking challenged ,Very Poor,,
3390,progressive first challenged late work required ,Very Poor,first,first
3391,challenged harddisk hence didnt finish work ,Very Poor,,
3392,progressive ,Neutral,,
3393,isreliable person lab entrusted several new task diligently executed least time possible love amazing importantly communication skill make working easy instance always reminds confirm quality work isvery good team leader yet required supervision work suchget time attend assignment completes assigned ,Very Poor,,
3394,allan managed consistent ,Very Poor,allan,allan
3395,good ,Good,,
3396,patience taken role coordinating implementation project digitise security operation regard armed personnel deployment exhibited good planning organisational skill well database design knowledge towards attainment objective ,Very Poor,,
3397,writing clean understandable code good attribute ofsoftware engineer ,Very Poor,,
3398,certificate case ssl certificate managed server well certificate upto date ,Very Poor,,
3399,completed continued general support troubleshooting problem installation window server 2019 ubuntu server adding window server 2019 role add raid management ,Very Poor,"2019, 2019","2019, 2019"
3400,completed continued general support troubleshooting problem installation window server 2019 ubuntu server adding window server 2019 role add raid management ,Very Poor,"2019, 2019","2019, 2019"
3401,still need engagement web scrapping dynamic reasoning attacking different web page design structure dom object java fail capture ,Very Poor,,
3402,installation window server 2019 ubuntu server adding window server 2019 role add raid management ,Very Poor,"2019, 2019","2019, 2019"
3403,roy continues demonstrategrate desire learn new concept keeping team posted progress goal assigned goal havepresentable demo potential client prior end internship ,Very Poor,,
3404,quantity work produced outstanding ,Very Poor,,
3405,worked adita crud fun sourcing application setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,adita crud fun,adita crud fun
3406,worked adita crud fun sourcing application setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,adita crud fun,adita crud fun
3407,student show great determination completing task given ,Very Poor,,
3408,student show great determination completing task given ,Very Poor,,
3409,consistency part cord conduct dressing excellent submit task time good skill team work team organization fast learner ,Very Poor,,
3410,commend punctuality punctual ,Very Poor,,
3411,time management good keep record well seek help task challenge creative applying skill project ,Good,,
3412,adhesive instruction ,Very Poor,,
3413,limited time engagement due much pressure campus made concentration project le could good sure ,Good,,
3414,passion know motion graphic always conducting self study address challenge social everyone work place ,Very Poor,,
3415,emma introduced cyber security fortigate platform successfully completed network security expert level 1 introduced basic firewall configuration ,Very Poor,1,1
3416,nosql mongodb mangodb ,Very Poor,,
3417,good ui ,Good,,
3418,beat deadline always ,Very Poor,,
3419,needmore time interact linux environment ,Very Poor,,
3420,sorry sickness letpray get well soon resume project ,Very Poor,,
3421,cynthia stepped take responsibility dependable area improvement would time management ,Very Poor,cynthia,cynthia
3422,configured vlans successfully ,Excellent,,
3423,able understand concept well give herproject end ,Very Poor,,
3424,limited time engagement due much pressure campus made concentration project le could good sure ,Good,,
3425,always time managed configure group policy different client server ,Very Poor,,
3426,great team player make effort ensure timely task completion ,Very Poor,,
3427,engaging love attacking logical challenge without fear favor ,Very Poor,,
3428,intern asked work together team come withconcept note inform design website intended improve documentation presentation skill prepare present concept client future intern trained another supervisor configure land line used ministry taken function device equipment room terminate analog line utl ,Very Poor,,
3429,isfast lean excellent skill project ,Very Poor,isfast lean excellent,isfast lean excellent
3430,handed task time ,Excellent,,
3431,set tour travel laravel project local computer worked module traveller booking worked atara legacy website updated database ,Very Poor,,
3432,attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,,
3433,week completed successfuly ,Excellent,,
3434,concentration put class work le attention project output week lacked alot ,Very Poor,output week,output week
3435,commended support service desk ,Very Poor,,
3436,worked adita crud fun sourcing application setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,adita crud fun,adita crud fun
3437,appreciate clarity provide project task positive mood encourages share knowledge ,Very Poor,,
3438,attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,,
3439,student show great determination completing task given ,Very Poor,,
3440,david worked together team came withconcept note inform design website intended improve documentation presentation skill plus team work prepare present concept client future david supervisor train concept able learn department ministry example last week taught configure land line used ministry taken function device equipment room terminate analog line utl ,Very Poor,last week,last week
3441,worked adita crud fun sourcing application setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,adita crud fun,adita crud fun
3442,knowledge networking terminating cable ,Very Poor,,
3443,worked adita crud fun sourcing application setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,adita crud fun,adita crud fun
3444,worked sororit city football club website setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,,
3445,good job andrew pushing barrier software challenge keep ,Good,,
3446,beat deadline always ,Very Poor,,
3447,great work progress review entirety task performed beginning project ,Very Poor,,
3448,david managed implement part front end business business flutter application ,Very Poor,david,david
3449,engaging throughout week ,Very Poor,week,week
3450,worked mysql ,Very Poor,,
3451,attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,,
3452,completed continued general support troubleshooting problem installation window server 2019 adding window server 2019 role add raid management ,Very Poor,"2019, 2019","2019, 2019"
3453,must confident deploying production able decide hosting option choose forproject ,Very Poor,,
3454,deployed rental app local server added module tenant registration ,Very Poor,,
3455,managed make sufficient research improve result previous experiment specificallyasked investigate use transfer learning asmeans improve model andam satisfied review also identified challenge deploying cnn model android flutter framework usinghave recommended explore use tensorflow specific pipeline like ml kit deploy android apps ,Very Poor,"cnn, ml kit","cnn, ml kit"
3456,worked adita crud fun sourcing application setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,adita crud fun,adita crud fun
3457,completed ,Excellent,,
3458,isgood person co operative asks doesnt understand tell learns fast caring everyone shop ,Very Poor,,
3459,determined bambi program running well complains yet service good far ,Very Poor,,
3460,kennetheagerness learn commendable communicates clearly seek practical hand assignment ,Very Poor,,
3461,introduced production hosting calm engaging ,Very Poor,,
3462,teamwork cooperation progressing well project add effort time efficiency effectiveness ,Very Poor,,
3463,attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,,
3464,worked adita crud fun sourcing application setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,adita crud fun,adita crud fun
3465,joshua managed develop front end data manipulation system pushed code github looking forward seeing integrate django asback end data manipulation system ,Very Poor,joshua,joshua
3466,limited time interaction due clashing school company activity ,Very Poor,,
3467,kyagaba integrated django back end data manipulation system far donegood job despite fixed schedule also managed use titanic dataset learn train data science concept add training acquired ,Very Poor,,
3468,despite fact working two project time given best see back end login sign page business business flutter application implemented using firebase also managed use house prediction dataset practice machine learning ,Very Poor,two,two
3469,engaging ,Very Poor,,
3470,cooperative week ,Very Poor,,
3471,good creativity ,Good,,
3472,draw knowledge skill others ,Very Poor,,
3473,ngrok intended expose machine internet ,Very Poor,ngrok,ngrok
3474,worked ngrok turn software ,Very Poor,ngrok,ngrok
3475,good progress development ofcabinet information paper ,Good,,
3476,took great initiative organising mini workshop backing user data also collaborative timely code review able deliver assigned task clear visibility quality work moment ,Very Poor,,
3477,always followed instruction carried assignment expected whenever hitroad block always sought help ,Very Poor,,
3478,ashave said previous week ability learn new program incredible good work ,Very Poor,previous week,previous week
3479,design website using wordpress content management system ,Very Poor,,
3480,student show consummate tenacity completing task making sure everything done right time ,Very Poor,,
3481,emmanuel task asked felt comfortable enough trust instinct handled many situation alleviated much work load impressed ability ass work get thing accomplished inshort work day ,Very Poor,,
3482,verbal communication skill improved greatly since first day started ,Very Poor,first day,first day
3483,great progress task assignment despite juggling school work ,Very Poor,,
3484,m nakityo went cs framework tailwind going use style app ,Very Poor,nakityo,nakityo
3485,maria progressing well independent ,Very Poor,,
3486,setup laravel inertia j rentapps solution worked adita crud fun sourcing application setup adita local server created landing page attended training hostingwebsite cpanel remote server web application wordpress started jinja tour web development using laravel worked traveler model booking visit server room learned best practice cable management ,Very Poor,adita crud fun,adita crud fun
3487,task completed successfully ,Excellent,,
3488,designedsimple blog using wordpress cm thoroughly ,Very Poor,,
3489,joseph indeed completed assignment moving file one vm another using ssh continuing assignment ,Very Poor,"joseph, one","joseph, one"
3490,week 5 joined infrastructure department department handle cabling networking system client department group givenbrief introduction taken different task department engineer ended week enterprise department server configuration installation different operating system working department engineer assigned task week 6 continues department ,Very Poor,"week 5, infrastructure department department, week 6","week 5, infrastructure department department, week 6"
3491,virtual host set easy thing accomplished need interface different server software configuration become confident working around technology ,Very Poor,,
3492,good team cordination ,Good,,
3493,isfast learner ,Very Poor,,
3494,engaged system coding framework django work real life system ,Very Poor,,
3495,mariam good work ethic follows direction well ,Good,mariam,mariam
3496,miiro interface built mobile friendly build mobile first interface ,Very Poor,"miiro, first","miiro, first"
3497,developed apis using concept learnt ,Very Poor,,
3498,jolly exposed area risk management operational credit market risk givenhigh level detail activity within space andwalkthrough conducting stress test also exposed regulatory return specific reporting regulator audit finding ,Very Poor,,
3499,incorporated service management software engineering learning use itsm tool spice work track resolve report incident ,Very Poor,,
3500,olivia making progress assignment ,Very Poor,olivia,olivia
3501,sickly limited time completed task ,Excellent,,
3502,sickly week got le time interact ,Very Poor,,
3503,nnabakka passionate data science regression prediction classical linear nonlinear regression extension ,Very Poor,linear,linear
3504,natasha made progress data preparation specifically presented candidate feature used training model predict number monthly submission feature selected currently need aggregated month make value training modellook forward data prepared good ,Very Poor,"monthly, aggregated month","monthly, aggregated month"
3505,set adita app local environment started working campaigner organization associated campaign ,Very Poor,,
3506,task assigned completed managed design wordpress personal blog ,Excellent,,
3507,alertness willing learn new skill time ,Very Poor,,
3508,good team work skill great ability multitask ,Good,,
3509,together team linda came withconcept note inform design website intended improve documentation presentation skill plus team work prepare present concept client future linda also supervisor train concept able learn department ministry example taught configure land line used ministry taken function device equipment room terminate analog line utl ,Very Poor,"linda, linda","linda, linda"
3510,attended training dor data science hosting laravel application cpanel ,Very Poor,,
3511,completed ,Excellent,,
3512,m rashidah comprehending theory practical wellencourage continue practice similar system grasp concept ,Very Poor,,
3513,gave heretask developwebsite see skill website designing well also hosted godtech co ug ,Very Poor,,
3514,enthusiastic energetic displayed positive learning behavior ,Very Poor,,
3515,development ongoing connection database ,Very Poor,,
3516,development ongoing student learning new technology ,Very Poor,,
3517,findinghard time using illustrator ,Very Poor,,
3518,task told enjoyed doingdidntell told use youtube ,Very Poor,,
3519,performing well ,Very Poor,,
3520,good performance kenneth ,Good,,
3521,engaging teammate ,Very Poor,,
3522,engaging teammate ,Very Poor,,
3523,great persistent improvement sonia focused helped learn skill work intern ,Very Poor,,
3524,great communication initiative skill showcased able spearhead organisation sprint planning call mobile application development team ability reach team member outside platform department showed great integration skill clear visibility quality code isroom improvement quantity work done per assigned task partly due high degree dependency task sprint planning process team need refinement head future sprint ,Very Poor,,
3525,dedicated learning new concept ,Very Poor,,
3526,assigned task start regard api concept ,Very Poor,,
3527,ability grasp new concept quickly high time improve havingcomputer issue maybe effort needed provide computing service student school ,Very Poor,,
3528,seems interested uis lack skill execute well maybe student allowed explore frontend development ,Very Poor,,
3529,use documentation deeply understand ci function hook work best use look asalways say practice key process acquiring knowledge skill thanks ,Very Poor,ci function,ci function
3530,practice practice grows master skill consuming much information possible ,Very Poor,,
3531,good ,Good,,
3532,quick learner good listener ,Good,,
3533,sr completed submitted review ,Excellent,,
3534,able doportfolio online site ,Very Poor,,
3535,adaptive company standard eager learn ,Very Poor,,
3536,good ,Good,,
3537,good ,Good,,
3538,able doportfolio online site ,Very Poor,,
3539,working mysql ,Very Poor,,
3540,good adaptation coding development environment tool used project ,Very Poor,,
3541,good team work contributed conceptual design raman spectroscopy ,Good,,
3542,excellent attitude towards work ,Very Poor,,
3543,completion assignment time timely delivery ,Very Poor,,
3544,good work week getting good voice system ,Good,,
3545,good network knowledge learnt reflecting otimwork ,Good,,
3546,progressed website multimedia development ,Very Poor,,
3547,hard working passionate ict ,Very Poor,,
3548,challenge ofnew langague approach programming therea self management esteem keep going ask helpgood step learning also achieving great getting another assigment documentation would love taste ablilty work pressure alot work timeline yet relaxed ,Very Poor,,
3549,isneed understand beauty simplicity student sometimes complicates simple thing something work ,Very Poor,,
3550,weekobjectives executed diligently effectively bertrand hasvery good learning attitude ,Very Poor,,
3551,intern gained research skill learnt find resource internet ,Very Poor,skill learnt,skill learnt
3552,good ,Good,,
3553,week wasrest week give intern time prepare upcoming test andasked put task hold ,Very Poor,week wasrest week,week wasrest week
3554,promising always active ,Very Poor,,
3555,task completed update previous content upgrade website infrastructure manual code wordpress ensure admission working ,Very Poor,,
3556,grown intoperson handle advanced work isfast learner ,Very Poor,,
3557,great progress thus far ,Very Poor,,
3558,great progress thus far ,Very Poor,,
3559,good mysql database ,Good,,
3560,intern engaged continuous development website system department due limited time left internship ,Very Poor,,
3561,showed great help building concept kebera iot device mostly physic chemistry involved also showed great knowledge cross platform development technology since kebera project meant cross platform hiswell equipped personnel field software development hard working reliable individual makegood software engineer ,Very Poor,,
3562,good ,Good,,
3563,good ,Good,,
3564,handed task project time ,Excellent,,
3565,output positive week ,Very Poor,,
3566,installing setting window server 2019 continued adding window server 2019 role dhcp add rdp adding user computer window server 2019 domain installing ubuntu server installing apache server mysql server phpmyadmin installing samba ,Very Poor,"2019, 2019, 2019","2019, 2019, 2019"
3567,installing setting window server 2019 continued adding window server 2019 role dhcp add rdp adding user computer window server 2019 domain installing ubuntu server installing apache server mysql server phpmyadmin installing samba ,Very Poor,"2019, 2019, 2019","2019, 2019, 2019"
3568,intern engaged continuous development website ministry ,Very Poor,,
3569,angela managed develop homepage interface front end work collaboratively teammate inorder deliverworking prototype thecommerce platform assignment good work ,Very Poor,angela,angela
3570,limited time engagement due much pressure campus made concentration project le could good sure got challenge apache configuration well google helped much must learned google solution week ,Very Poor,google,google
3571,mmiiroresearch computer skill bestve seen assignedtask integrate admin lte bootstrap template laravel havingsingle header though single nav bar dynamic pageswasnexpectingstudent beginner level complete difficult task easily inshort time framewould like express amazing intern mmiiro department unbelievably responsible professional personable andgreat team memberbelieve amazing future ahead programming type person people want work around rarehope proud learning ,Very Poor,,
3572,good ,Good,,
3573,deliverable time regardless fixed schedule school activity ,Very Poor,,
3574,boosted auth boostedcentral user registration system role update system tremendous ,Very Poor,,
3575,,Very Poor,nan,nan
3576,william successfully implemented file upload data manipulation system also went ahead addmodel storing csv generate graph visualization great work far progress promising ,Very Poor,william successfully,william successfully
3577,show time good business idea creative applies concept learnt dressing code perfect ,Very Poor,,
3578,good online website ,Good,,
3579,sharp fast learner good listener always ask question session communication skill perfect ,Very Poor,,
3580,le than1 error rate work product ,Very Poor,,
3581,passionate motion graphic willing learnt good presenter good idea time management excellent ,Good,,
3582,peter managed deliverworking prototype thecommerce platform hebeen assigned great work keep ,Very Poor,peter,peter
3583,good mysql database management system ,Good,,
3584,task completed well week ,Excellent,,
3585,work module traveller booking project team software development task write documentation ,Very Poor,,
3586,contribution boosted store isvalue addition product filter feature isgreat addition ,Very Poor,,
3587,successively implementedlan office premise assistance colleague ,Very Poor,,
3588,deployed crud fund campaign application sourcing ,Very Poor,deployed crud fund campaign application,deployed crud fund campaign application
3589,would specific module completed however positive attitude towards work highly appreciated ,Very Poor,,
3590,worked adita project code review implemented module feature mantle hope site worked tour travel application updated user session laravel application ,Very Poor,adita,adita
3591,good ui ,Good,,
3592,worked mysql ,Very Poor,,
3593,managed database table using mysql database xamp localhost server ,Very Poor,,
3594,bpl might beenchallenge grasp due unavailability ofstandard documentation ,Very Poor,,
3595,davis managed integrate firebase within flutter interface authentication continue hardworking ,Very Poor,davis,davis
3596,introduced web administration apache server ,Very Poor,,
3597,far reagan attentive responds well progress ,Very Poor,reagan,reagan
3598,installing setting window server 2019 continued adding window server 2019 role dhcp add rdp adding user computer window server 2019 domain installing ubuntu server installing apache server mysql server installing samba ,Very Poor,"2019, 2019, 2019","2019, 2019, 2019"
3599,deployed adita app local computer work code review adita implemented inertia j vue application ,Very Poor,,
3600,ronald besigye isgood person pernow thing working well problem going problem employee feeling good theyjealousy since put ingood place work well ,Very Poor,ronald besigye,ronald besigye
3601,completed landing page soroti fc completed booking model jinja tour web app attended hosting session atara legacy website livepanel attended code review adita project ,Very Poor,soroti,soroti
3602,isgood person yet bad news happning area greets well come time doesnt complain ,Very Poor,,
3603,moving schedule progressing well ,Very Poor,,
3604,,Very Poor,nan,nan
3605,able expose machinelocalhost internet using ngrok hope inspired developcustom server tunnel similar ,Very Poor,,
3606,good work interface please note always use slack ask teammate anything clear api documentation ,Very Poor,,
3607,intern engaged continuous development website system department due limited time left internship ,Very Poor,,
3608,completed ,Excellent,,
3609,installing setting window server 2019 continued adding window server 2019 role dhcp add rdp adding user computer window server 2019 domain installing ubuntu server installing apache server mysql server phpmyadmin installing samba ,Very Poor,"2019, 2019, 2019","2019, 2019, 2019"
3610,good ,Good,,
3611,great work deborah consistent start completing task assigned completely time withgreat attitude towards work amidst challenge faced capable delivering inhigh pressure work environment impressive ,Very Poor,,
3612,joseph research new technology help able push ahead assignment currently ,Very Poor,,
3613,good commited student ,Good,,
3614,week reviewed code roy wrote assigned project provided work demonstrated understanding task added github repo familiarize house product hope roy modified ready conductdemo client infew week ,Very Poor,,
3615,showed ability work asgroup discussion rest still debugging error handling issue ,Very Poor,,
